"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar","trans","acc_et"
"1","101",3649,1,"1","Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Chair","1","Left","ChairRefrigerator",0.85,"similar",NA,NA
"2","102",3652,1,"1","Male ","Caucasian/ Asian-American",NA,"e","g","e",2.38,28.57,5,0,"Bear","1","Right","ElephantBear",0.85,"similar",NA,NA
"3","103",4634,1,"1","Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Pizza","1","Right","CookiePizza",0.9,"similar",NA,NA
"4","106",1982,1,"1","Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Cookie","1","Left","CookiePizza",0.684210526315789,"similar",NA,NA
"5","107",15747,0,"1","Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Cake","1","Right","CakeHat",0.6,"similar",NA,NA
"6","108",3446,0,"1","Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Chair","1","Right","ChairRefrigerator",0.65,"similar",NA,NA
"7","109",3349,0,"1","Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Elephant","1","Right","ElephantBear",0.8,"similar",NA,NA
"8","110",2320,1,"1","Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Pizza","1","Right","CookiePizza",0.9,"similar",NA,NA
"9","111",12386,1,"1","Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Hat","1","Right","CakeHat",0.85,"similar",NA,NA
"10","112",1613,0,"1","Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Refrigerator","1","Left","ChairRefrigerator",0.75,"similar",NA,NA
"11","113",8067,0,"1","Male","Caucasiasian-American","","f","e","b",2.55,30.54,1,0,"Elephant","1","Right","ElephantBear",0.75,"similar",NA,NA
"12","114",4994,1,"1","Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Cookie","1","Left","CookiePizza",0.95,"similar",NA,NA
"13","116",6159,0,"1","Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Chair","1","Right","ChairRefrigerator",0.55,"similar",NA,NA
"14","117",4523,1,"1","Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Bear","1","Right","ElephantBear",0.95,"similar",NA,NA
"15","118",6261,1,"1","Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Pizza","1","Right","CookiePizza",0.75,"similar",NA,NA
"16","121",6001,0,"1","Female","African American, Caucasian, American Indian, Asian-American","Caucasian","a","c","",2.7,32.45,1,0,"Elephant","1","Right","ElephantBear",0.55,"similar",NA,NA
"17","123",3115,1,"1","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Cake","1","Left","CakeHat",0.85,"similar",NA,NA
"18","34",3652,1,"1","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Cookie","1","Left","CookiePizza",0.6,"similar",NA,NA
"19","35",5981,0,"1","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Cake","1","Right","CakeHat",0.6,"similar",NA,NA
"20","36",3464,1,"1","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Chair","1","Left","ChairRefrigerator",0.95,"similar",NA,NA
"21","37",2719,0,"1","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bear","1","Left","ElephantBear",0.55,"similar",NA,NA
"22","38",6459,0,"1","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Pizza","1","Left","CookiePizza",0.8,"similar",NA,NA
"23","39",4292,1,"1","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Hat","1","Right","CakeHat",0.9,"similar",NA,NA
"24","40",13753,0,"1","Male","Hispanic","Caucasian","e","g","g",2.33,27.95,8,0,"Refrigerator","1","Left","ChairRefrigerator",0.647058823529412,"similar",NA,NA
"25","41",9145,0,"1","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Elephant","1","Right","ElephantBear",0.55,"similar",NA,NA
"26","43",7846,1,"1","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Cake","1","Left","CakeHat",0.85,"similar",NA,NA
